datetime,opt50Code,opt300Code,share50,share300,inOpt50Price,outOpt50Price,inOpt300Price,outOpt300Price,profit50,profit300,profit total
2020-07-07,OP10002565,OP10002568,-1762.6718077904038,-10000,0.32499998807907104,0.32499998807907104,0.01640000008046627,0.01640000008046627,-0.0,-0.0,999.0240629268742
2020-07-08,OP10002565,OP10002568,-1762.6718077904038,-10000,0.36800000071525574,0.36800000071525574,0.011500000022351742,0.011500000022351742,-0.0,-0.0,-26.794909427288587
2020-07-09,OP10002565,OP10002568,-1762.6718077904038,-10000,0.3695000112056732,0.3695000112056732,0.00860000029206276,0.00860000029206276,-0.0,-0.0,26.355971100041074
2020-07-10,OP10002565,OP10002568,-881.457789132812,-10000,0.2827000021934509,0.2827000021934509,0.00800000037997961,0.00800000037997961,-0.0,-0.0,158.9999279226287
2020-07-13,OP10002565,OP10002568,-881.457789132812,-10000,0.3199999928474426,0.3199999928474426,0.0027000000700354576,0.0027000000700354576,-0.0,-0.0,20.121635802899455
2020-07-14,OP10002565,OP10002568,-390.8999036169349,-10000,0.2831000089645386,0.2831000089645386,0.003700000001117587,0.003700000001117587,-0.0,-0.0,22.525778901639704
2020-07-15,OP10002565,OP10002568,-390.8999036169349,-10000,0.2498999983072281,0.2498999983072281,0.003800000064074993,0.003800000064074993,-0.0,-0.0,11.97788033644982
2020-07-16,OP10002565,OP10002568,-390.8999036169349,-10000,0.1177000030875206,0.1177000030875206,0.025100000202655792,0.025100000202655792,-0.0,-0.0,-161.32303599626508
2020-07-17,OP10002565,OP10002568,-4096.958799555669,-10000,0.13830000162124634,0.13830000162124634,0.007000000216066837,0.007000000216066837,-0.0,-0.0,172.94746242454715
2020-07-20,OP10002565,OP10002568,-1481.382347012447,-10000,0.22699999809265137,0.22699999809265137,0.0007999999797903001,0.0007999999797903001,-0.0,-0.0,-301.4002287013143
2020-07-21,OP10002565,OP10002568,-220.06299505940095,-10000,0.22509999573230743,0.22509999573230743,9.999999747378752e-05,9.999999747378752e-05,-0.0,-0.0,9.814629779060612
2020-07-03,OP10002569,OP10002574,-11791.864210098687,-10000,0.05979999899864197,0.22509999573230743,0.11479999870061874,9.999999747378752e-05,-1949.1951154131398,1146.9999870314496,-225.32787593242045
2020-07-06,OP10002569,OP10002574,-11791.864210098687,-10000,0.3262999951839447,0.3262999951839447,0.03909999877214432,0.03909999877214432,-0.0,-0.0,-2385.5317677241637
2020-07-07,OP10002569,OP10002574,-2956.874519716601,-10000,0.23180000483989716,0.23180000483989716,0.028699999675154686,0.028699999675154686,-0.0,-0.0,1218.3310449625421
2020-07-08,OP10002569,OP10002574,-2956.874519716601,-10000,0.2702000141143799,0.2702000141143799,0.020999999716877937,0.020999999716877937,-0.0,-0.0,-36.544009397831644
2020-07-09,OP10002569,OP10002574,-2956.874519716601,-10000,0.2750999927520752,0.2750999927520752,0.014399999752640724,0.014399999752640724,-0.0,-0.0,51.511377661415196
2020-07-10,OP10002569,OP10002574,-1519.3278194166264,-10000,0.19599999487400055,0.19599999487400055,0.015300000086426735,0.015300000086426735,-0.0,-0.0,224.888764897456
2020-07-13,OP10002569,OP10002574,-1519.3278194166264,-10000,0.22200000286102295,0.22200000286102295,0.004999999888241291,0.004999999888241291,-0.0,-0.0,63.497466542116825
2020-07-14,OP10002569,OP10002574,-748.4459471272761,-10000,0.18700000643730164,0.18700000643730164,0.0071000000461936,0.0071000000461936,-0.0,-0.0,32.17646666651914
2020-07-15,OP10002569,OP10002574,-748.4459471272761,-10000,0.16179999709129333,0.16179999709129333,0.007899999618530273,0.007899999618530273,-0.0,-0.0,10.860849139222655
2020-07-16,OP10002569,OP10002574,-748.4459471272761,-10000,0.048900000751018524,0.048900000751018524,0.0560000017285347,0.0560000017285347,-0.0,-0.0,-396.5004764084813
2020-07-17,OP10002569,OP10002574,-11287.899547776547,-10000,0.05559999868273735,0.05559999868273735,0.02070000022649765,0.02070000022649765,-0.0,-0.0,347.9854287226144
2020-07-20,OP10002569,OP10002574,-5307.107221726408,-10000,0.12759999930858612,0.12759999930858612,0.0017999999690800905,0.0017999999690800905,-0.0,-0.0,-623.7287719302539
2020-07-21,OP10002569,OP10002574,-558.770052207705,-10000,0.12639999389648438,0.12639999389648438,0.00039999998989515007,0.00039999998989515007,-0.0,-0.0,20.368557180525354
